1171565,000000	-7,934868	-3,352761	-6,519258	-11,920929	-6,668270	-5,513430	-6,966293	-9,834766	0,000000	0,000000	1735737939,203096	0,000000
1171566,000000	-7,674098	-2,495944	-6,854534	-11,920929	-6,332994	-5,587935	-7,413328	-9,872019	0,000000	0,000000	1735737939,204096	0,000000
1171567,000000	-7,376075	-2,905726	-6,221235	-11,473894	-6,258488	-5,140901	-6,668270	-7,748604	0,000000	0,000000	1735737939,206096	0,000000
1171568,000000	-6,854534	-2,831221	-7,115304	-11,771917	-6,183982	-4,991889	-6,742775	-6,519258	0,000000	0,000000	1735737939,208096	0,000000
1171569,000000	-6,929040	-2,682209	-7,674098	-11,511147	-6,370246	-5,289912	-6,556511	-7,636845	0,000000	0,000000	1735737939,210096	0,000000
1171570,000000	-7,487833	-3,464520	-6,742775	-11,771917	-7,040799	-5,289912	-7,264316	-9,648502	0,000000	0,000000	1735737939,212096	0,000000
1171571,000000	-7,152557	-2,793968	-6,407499	-11,697412	-7,525086	-4,917383	-7,301569	-9,797513	0,000000	0,000000	1735737939,214096	0,000000
1171572,000000	-7,636845	-2,644956	-6,519258	-11,809170	-7,115304	-4,582107	-7,674098	-10,058284	0,000000	0,000000	1735737939,216096	0,000000
1171573,000000	-7,264316	-3,054738	-7,003546	-11,995435	-6,929040	-5,178154	-7,227063	-9,760261	0,000000	0,000000	1735737939,218096	0,000000
1171574,000000	-7,078052	-3,166497	-6,780028	-11,697412	-6,929040	-4,954636	-7,227063	-9,983778	0,000000	0,000000	1735737939,220096	0,000000
1171575,000000	-7,152557	-3,501773	-6,482005	-11,324883	-6,593764	-5,327165	-7,562339	-9,834766	0,000000	0,000000	1735737939,222096	0,000000
1171576,000000	-7,338822	-3,129244	-6,444752	-11,697412	-6,370246	-5,513430	-7,264316	-9,909272	0,000000	0,000000	1735737939,224096	0,000000
1171577,000000	-7,078052	-3,129244	-6,631017	-11,436641	-6,183982	-5,289912	-7,078052	-10,207295	0,000000	0,000000	1735737939,226096	0,000000
1171578,000000	-7,227063	-3,166497	-6,742775	-11,511147	-6,519258	-5,401671	-7,189810	-9,946525	0,000000	0,000000	1735737939,228096	0,000000
1171579,000000	-7,599592	-2,644956	-6,556511	-11,809170	-6,817281	-4,991889	-7,115304	-9,499490	0,000000	0,000000	1735737939,230096	0,000000
1171580,000000	-7,450581	-2,868474	-7,003546	-11,771917	-6,370246	-5,289912	-7,525086	-9,350479	0,000000	0,000000	1735737939,232096	0,000000
1171581,000000	-7,487833	-3,017485	-6,519258	-11,622906	-6,817281	-5,364418	-7,152557	-9,760261	0,000000	0,000000	1735737939,234096	0,000000
1171582,000000	-7,413328	-3,091991	-6,444752	-11,846423	-6,891787	-5,364418	-7,376075	-10,058284	0,000000	0,000000	1735737939,236096	0,000000
1171583,000000	-7,748604	-3,576279	-6,966293	-12,032688	-7,152557	-5,513430	-7,711351	-9,648502	0,000000	0,000000	1735737939,238096	0,000000
1171584,000000	-7,040799	-3,427267	-7,115304	-11,585653	-6,593764	-4,917383	-7,338822	-9,611249	0,000000	0,000000	1735737939,240096	0,000000
1171585,000000	-7,264316	-2,756715	-7,040799	-11,697412	-6,631017	-5,476177	-8,009374	-9,983778	0,000000	0,000000	1735737939,242096	0,000000
1171586,000000	-7,040799	-3,091991	-6,966293	-11,809170	-7,040799	-5,289912	-7,487833	-9,424984	0,000000	0,000000	1735737939,244096	0,000000
1171587,000000	-7,338822	-2,719462	-7,413328	-11,734664	-6,444752	-4,842877	-7,711351	-9,015203	0,000000	0,000000	1735737939,245096	0,000000
1171588,000000	-7,413328	-3,315508	-6,146729	-11,846423	-6,519258	-5,066395	-6,966293	-9,834766	0,000000	0,000000	1735737939,247096	0,000000
1171589,000000	-7,860363	-3,241003	-6,295741	-12,479722	-7,338822	-5,029142	-6,817281	-9,946525	0,000000	0,000000	1735737939,249096	0,000000
1171590,000000	-7,413328	-2,980232	-6,556511	-11,995435	-6,631017	-5,550683	-7,003546	-9,909272	0,000000	0,000000	1735737939,251096	0,000000
1171591,000000	-7,525086	-2,942979	-6,668270	-11,399388	-6,221235	-5,215406	-7,227063	-9,685755	0,000000	0,000000	1735737939,253096	0,000000
1171592,000000	-7,711351	-3,315508	-7,003546	-11,995435	-6,444752	-4,619360	-6,817281	-9,499490	0,000000	0,000000	1735737939,255096	0,000000
1171593,000000	-7,711351	-3,390014	-6,891787	-11,250377	-6,854534	-4,917383	-7,636845	-10,207295	0,000000	0,000000	1735737939,257096	0,000000
1171594,000000	-7,152557	-3,017485	-6,780028	-11,287630	-6,332994	-4,805624	-6,742775	-9,201467	0,000000	0,000000	1735737939,259096	0,000000
1171595,000000	-7,338822	-2,942979	-6,966293	-11,995435	-6,109476	-5,103648	-6,556511	-7,264316	0,000000	0,000000	1735737939,261096	0,000000
1171596,000000	-7,189810	-2,309680	-7,040799	-11,362135	-6,146729	-5,699694	-7,189810	-8,381903	0,000000	0,000000	1735737939,263096	0,000000
1171597,000000	-7,711351	-2,868474	-6,034970	-11,064112	-6,817281	-5,327165	-7,264316	-9,573996	0,000000	0,000000	1735737939,265096	0,000000
1171598,000000	-7,785857	-3,091991	-6,370246	-11,399388	-6,407499	-5,178154	-7,413328	-9,611249	0,000000	0,000000	1735737939,267096	0,000000
1171599,000000	-7,599592	-3,241003	-6,817281	-11,771917	-6,482005	-5,178154	-7,115304	-9,983778	0,000000	0,000000	1735737939,269096	0,000000
